Date,market,Close,Regime,Regime_Name,Stress_Score
2025-03-10,dax,22620.94921875,2,Stress/Bear,0.9999691963113706
2025-03-11,dax,22328.76953125,2,Stress/Bear,0.999460413123355
2025-03-12,dax,22676.41015625,2,Stress/Bear,0.9991084882711628
2025-03-13,dax,22567.140625,2,Stress/Bear,0.9865491409414081
2025-03-14,dax,22986.8203125,2,Stress/Bear,0.9875893292469253
2025-03-17,dax,23154.5703125,2,Stress/Bear,0.9612830652007608
2025-03-18,dax,23380.69921875,2,Stress/Bear,0.98124799692254
2025-03-19,dax,23288.060546875,2,Stress/Bear,0.9049739413344855
2025-03-20,dax,22999.150390625,2,Stress/Bear,0.9614830454212918
2025-03-21,dax,22891.6796875,2,Stress/Bear,0.999924438099501
2025-03-24,dax,22852.66015625,2,Stress/Bear,0.95111810473159
2025-03-25,dax,23109.7890625,2,Stress/Bear,0.9823342982983428
2025-03-26,dax,22839.029296875,2,Stress/Bear,0.9271593866971609
2025-03-27,dax,22678.740234375,2,Stress/Bear,0.6059997835181316
2025-03-28,dax,22461.51953125,2,Stress/Bear,0.6430843283933321
2025-03-31,dax,22163.490234375,1,Transition,0.10413366654170171
2025-04-01,dax,22539.98046875,1,Transition,0.017462429117415686
2025-04-02,dax,22390.83984375,0,Calm/Bull,0.00010674064424550645
2025-04-03,dax,21717.390625,1,Transition,0.02078376203177549
2025-04-04,dax,20641.720703125,2,Stress/Bear,0.9999999994881854
2025-04-07,dax,19789.619140625,2,Stress/Bear,1.0
2025-04-08,dax,20280.259765625,2,Stress/Bear,0.9995753334060354
2025-04-09,dax,19670.880859375,2,Stress/Bear,0.9992139320771903
2025-04-10,dax,20562.73046875,2,Stress/Bear,0.9999996496472338
2025-04-11,dax,20374.099609375,2,Stress/Bear,0.992732017946734
2025-04-14,dax,20954.830078125,2,Stress/Bear,0.9995742674498131
2025-04-15,dax,21253.69921875,2,Stress/Bear,0.9990461634882067
2025-04-16,dax,21311.01953125,2,Stress/Bear,0.9999160665918699
2025-04-17,dax,21205.859375,2,Stress/Bear,0.9963651352206073
2025-04-22,dax,21293.529296875,2,Stress/Bear,0.9973486245727685
2025-04-23,dax,21961.970703125,2,Stress/Bear,0.9999853303969162
2025-04-24,dax,22064.509765625,2,Stress/Bear,0.9998346269652746
2025-04-25,dax,22242.44921875,2,Stress/Bear,0.9998490380924369
2025-04-28,dax,22271.669921875,2,Stress/Bear,0.9999068416545088
2025-04-29,dax,22425.830078125,2,Stress/Bear,0.9999591143609023
2025-04-30,dax,22496.98046875,2,Stress/Bear,0.9996525786053998
2025-05-02,dax,23086.650390625,2,Stress/Bear,0.9999708940873516
2025-05-05,dax,23344.5390625,2,Stress/Bear,0.999962623222867
2025-05-06,dax,23249.650390625,2,Stress/Bear,0.9998032518477131
2025-05-07,dax,23115.9609375,2,Stress/Bear,0.6753597395942794
2025-05-08,dax,23352.689453125,1,Transition,0.07654346075683785
2025-05-09,dax,23499.3203125,1,Transition,0.0656671804210776
2025-05-12,dax,23566.5390625,1,Transition,0.40762836408266423
2025-05-13,dax,23638.560546875,1,Transition,0.013070130794781218
2025-05-14,dax,23527.009765625,1,Transition,0.005447626826468067
2025-05-15,dax,23695.58984375,1,Transition,0.0007129552254372214
2025-05-16,dax,23767.4296875,1,Transition,0.00040520719731223105
2025-05-19,dax,23934.98046875,1,Transition,6.371122794133947e-05
2025-05-20,dax,24036.109375,1,Transition,0.0002680164496041296
2025-05-21,dax,24122.400390625,1,Transition,0.00010933383538412756
2025-05-22,dax,23999.169921875,1,Transition,6.784307002406757e-05
2025-05-23,dax,23629.580078125,2,Stress/Bear,0.5827813404938463
2025-05-26,dax,24027.650390625,1,Transition,7.130129808747427e-05
2025-05-27,dax,24226.490234375,1,Transition,4.2668209163609934e-05
2025-05-28,dax,24038.189453125,1,Transition,4.592671131720419e-05
2025-05-29,dax,23933.23046875,1,Transition,1.9087038351601238e-05
2025-05-30,dax,23997.48046875,2,Stress/Bear,0.6719126116880516
2025-06-02,dax,23930.669921875,1,Transition,5.555987628773241e-07
2025-06-03,dax,24091.619140625,1,Transition,6.16817835939358e-07
2025-06-04,dax,24276.48046875,1,Transition,5.639810953196763e-07
2025-06-05,dax,24323.580078125,1,Transition,3.347996187172514e-07
2025-06-06,dax,24304.4609375,1,Transition,1.912738506331415e-07
2025-06-09,dax,24174.3203125,1,Transition,2.0703041255778073e-07
2025-06-10,dax,23987.560546875,1,Transition,1.0974153302543907e-06
2025-06-11,dax,23948.900390625,1,Transition,1.6432807792182768e-06
2025-06-12,dax,23771.44921875,1,Transition,1.8164851315331717e-06
2025-06-13,dax,23516.23046875,1,Transition,5.051714449839278e-05
2025-06-16,dax,23699.119140625,1,Transition,1.524972302663299e-06
2025-06-17,dax,23434.650390625,1,Transition,1.3472718636505597e-06
2025-06-18,dax,23317.810546875,1,Transition,1.6646263613340723e-06
2025-06-19,dax,23057.380859375,1,Transition,1.0017470815635483e-06
2025-06-20,dax,23350.55078125,2,Stress/Bear,0.9999999999999929
2025-06-23,dax,23269.009765625,1,Transition,3.479523696145159e-07
2025-06-24,dax,23641.580078125,1,Transition,7.824589971156098e-06
2025-06-25,dax,23498.330078125,1,Transition,1.242152408488543e-06
2025-06-26,dax,23649.30078125,1,Transition,1.2761050640758144e-06
2025-06-27,dax,24033.220703125,1,Transition,6.5474867970284805e-06
2025-06-30,dax,23909.609375,1,Transition,4.137710886594875e-05
2025-07-01,dax,23673.2890625,1,Transition,3.292773333765505e-06
2025-07-02,dax,23790.109375,1,Transition,3.5286742333782415e-06
2025-07-03,dax,23934.130859375,1,Transition,7.08624988523859e-06
2025-07-04,dax,23787.44921875,1,Transition,9.636744354226904e-06
2025-07-07,dax,24073.669921875,0,Calm/Bull,8.794140275806993e-06
2025-07-08,dax,24206.91015625,0,Calm/Bull,4.0300414948732735e-06
2025-07-09,dax,24549.560546875,0,Calm/Bull,8.393765541389645e-05
2025-07-10,dax,24456.810546875,0,Calm/Bull,8.96560512116314e-06
2025-07-11,dax,24255.310546875,0,Calm/Bull,7.466360823766922e-06
2025-07-14,dax,24160.640625,0,Calm/Bull,1.62713430288084e-06
2025-07-15,dax,24060.2890625,0,Calm/Bull,1.6251949382015938e-06
2025-07-16,dax,24009.380859375,0,Calm/Bull,1.0172618000708859e-05
2025-07-17,dax,24370.9296875,0,Calm/Bull,9.964065865194039e-05
2025-07-18,dax,24289.509765625,0,Calm/Bull,3.6971511010026964e-06
2025-07-21,dax,24307.80078125,0,Calm/Bull,2.4807067845348974e-06
2025-07-22,dax,24041.900390625,0,Calm/Bull,3.94784638943937e-06
2025-07-23,dax,24240.8203125,0,Calm/Bull,0.00034108874545248823
2025-07-24,dax,24295.9296875,0,Calm/Bull,4.855856273874882e-05
2025-07-25,dax,24217.5,0,Calm/Bull,7.360162520035411e-07
2025-07-28,dax,23970.359375,0,Calm/Bull,0.00013190176404174266
2025-07-29,dax,24217.369140625,0,Calm/Bull,1.6579250447934029e-06
2025-07-30,dax,24262.220703125,0,Calm/Bull,9.118965033953474e-07
2025-07-31,dax,24065.470703125,0,Calm/Bull,1.0816725186300981e-05
2025-08-01,dax,23425.970703125,0,Calm/Bull,0.020991684477605736
2025-08-04,dax,23757.689453125,0,Calm/Bull,3.9042748287533956e-05
2025-08-05,dax,23846.0703125,0,Calm/Bull,2.7211044003818704e-05
2025-08-06,dax,23924.359375,0,Calm/Bull,4.6318649282818034e-05
2025-08-07,dax,24192.5,0,Calm/Bull,0.0019343947789808814
2025-08-08,dax,24162.859375,0,Calm/Bull,2.912080336981856e-05
2025-08-11,dax,24081.33984375,0,Calm/Bull,2.8119240130411098e-06
2025-08-12,dax,24024.779296875,0,Calm/Bull,3.725050484021395e-06
2025-08-13,dax,24185.58984375,0,Calm/Bull,6.459064662163987e-06
2025-08-14,dax,24377.5,0,Calm/Bull,1.8675137241990796e-06
2025-08-15,dax,24359.30078125,0,Calm/Bull,1.5169034758207396e-06
